,awardYear,category,categoryFullName,dateAwarded,prizeAmount,prizeAmountAdjusted,links,laureates
10,1903,"{'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}","{'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}",1903-11-12,141358,7936836,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/che/1903', 'action': 'GET', 'types': 'application/json'}]","[{'id': '162', 'knownName': {'en': 'Svante Arrhenius'}, 'fullName': {'en': 'Svante August Arrhenius'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation', 'se': 'såsom ett erkännande för den utomordentliga förtjänst han genom sin elektrolytiska dissociations-teori inlagt om kemiens utveckling'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/162', 'action': 'GET', 'types': 'application/json'}]}]"
11,1903,"{'en': 'Literature', 'no': 'Litteratur', 'se': 'Litteratur'}","{'en': 'The Nobel Prize in Literature', 'no': 'Nobelprisen i litteratur', 'se': 'Nobelpriset i litteratur'}",1903-11-19,141358,7936836,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/lit/1903', 'action': 'GET', 'types': 'application/json'}]","[{'id': '572', 'knownName': {'en': 'Bjørnstjerne Bjørnson'}, 'fullName': {'en': 'Bjørnstjerne Martinus Bjørnson'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit', 'se': 'såsom en gärd av erkännande åt hans ädla, storartade och mångsidiga skaldeverksamhet, som alltid varit utmärkt på en gång av ingivelsens friskhet och av en sällsynt själsrenhet'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/572', 'action': 'GET', 'types': 'application/json'}]}]"
12,1903,"{'en': 'Peace', 'no': 'Fred', 'se': 'Fred'}","{'en': 'The Nobel Peace Prize', 'no': 'Nobels fredspris', 'se': 'Nobels fredspris'}",1903-12-10,141358,7936836,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/pea/1903', 'action': 'GET', 'types': 'application/json'}]","[{'id': '466', 'knownName': {'en': 'Randal Cremer'}, 'fullName': {'en': 'William Randal Cremer'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'for his longstanding and devoted effort in favour of the ideas of peace and arbitration', 'no': 'for sin lange og oppofrende innsats for å fremme ideen om fred og voldgift'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/466', 'action': 'GET', 'types': 'application/json'}]}]"
13,1903,"{'en': 'Physics', 'no': 'Fysikk', 'se': 'Fysik'}","{'en': 'The Nobel Prize in Physics', 'no': 'Nobelprisen i fysikk', 'se': 'Nobelpriset i fysik'}",1903-11-12,141358,7936836,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/phy/1903', 'action': 'GET', 'types': 'application/json'}]","[{'id': '4', 'knownName': {'en': 'Henri Becquerel'}, 'fullName': {'en': 'Antoine Henri Becquerel'}, 'portion': '1/2', 'sortOrder': '1', 'motivation': {'en': 'in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity', 'se': 'såsom ett erkännande av den utomordentliga förtjänst han inlagt genom upptäckten av den spontana radioaktiviteten'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/4', 'action': 'GET', 'types': 'application/json'}]}, {'id': '5', 'knownName': {'en': 'Pierre Curie'}, 'fullName': {'en': 'Pierre Curie'}, 'portion': '1/4', 'sortOrder': '2', 'motivation': {'en': 'in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel', 'se': 'såsom ett erkännande av den utomordentliga förtjänst de inlagt genom sina gemensamt utförda arbeten rörande de av Professor Henri Becquerel upptäckta strålningsfenomenen'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/5', 'action': 'GET', 'types': 'application/json'}]}, {'id': '6', 'knownName': {'en': 'Marie Curie'}, 'fullName': {'en': 'Marie Curie, née Sklodowska'}, 'portion': '1/4', 'sortOrder': '3', 'motivation': {'en': 'in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel', 'se': 'såsom ett erkännande av den utomordentliga förtjänst de inlagt genom sina gemensamt utförda arbeten rörande de av Professor Henri Becquerel upptäckta strålningsfenomenen'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/6', 'action': 'GET', 'types': 'application/json'}]}]"
14,1903,"{'en': 'Physiology or Medicine', 'no': 'Fysiologi eller medisin', 'se': 'Fysiologi eller medicin'}","{'en': 'The Nobel Prize in Physiology or Medicine', 'no': 'Nobelprisen i fysiologi eller medisin', 'se': 'Nobelpriset i fysiologi eller medicin'}",1903-10-15,141358,7936836,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/med/1903', 'action': 'GET', 'types': 'application/json'}]","[{'id': '295', 'knownName': {'en': 'Niels Ryberg Finsen'}, 'fullName': {'en': 'Niels Ryberg Finsen'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science', 'se': 'såsom ett erkännande åt hans arbete för behandling av sjukdomar och särskilt lupus vulgaris med koncentrerade ljusstrålar, varigenom han öppnat en ny väg för läkekonsten'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/295', 'action': 'GET', 'types': 'application/json'}]}]"
15,1904,"{'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}","{'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}",1904-11-08,140859,7908819,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/che/1904', 'action': 'GET', 'types': 'application/json'}]","[{'id': '163', 'knownName': {'en': 'Sir William Ramsay'}, 'fullName': {'en': 'Sir William Ramsay'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system', 'se': 'såsom ett erkännande av den förtjänst han inlagt genom upptäckten av de indifferenta gasformiga grundämnenena i luften och bestämmandet av deras plats i det periodiska systemet'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/163', 'action': 'GET', 'types': 'application/json'}]}]"
16,1904,"{'en': 'Literature', 'no': 'Litteratur', 'se': 'Litteratur'}","{'en': 'The Nobel Prize in Literature', 'no': 'Nobelprisen i litteratur', 'se': 'Nobelpriset i litteratur'}",1904-11-17,140859,7908819,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/lit/1904', 'action': 'GET', 'types': 'application/json'}]","[{'id': '573', 'knownName': {'en': 'Frédéric Mistral'}, 'fullName': {'en': 'Frédéric Mistral'}, 'portion': '1/2', 'sortOrder': '1', 'motivation': {'en': 'in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist', 'se': 'med avseende fäst å det ursprungsfriska, snillrika och sant konstnärliga i hans diktning, som troget avspeglar hans hembygds natur och folkliv, samt å hans betydelsefulla verksamhet som provençalsk filolog'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/573', 'action': 'GET', 'types': 'application/json'}]}, {'id': '574', 'knownName': {'en': 'José Echegaray'}, 'fullName': {'en': 'José Echegaray y Eizaguirre'}, 'portion': '1/2', 'sortOrder': '2', 'motivation': {'en': 'in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama', 'se': 'med avseende fäst å hans omfattande och snillrika författarskap, som på självständigt och orginellt sätt återupplivat det spanska skådespelets stora traditioner'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/574', 'action': 'GET', 'types': 'application/json'}]}]"
17,1904,"{'en': 'Peace', 'no': 'Fred', 'se': 'Fred'}","{'en': 'The Nobel Peace Prize', 'no': 'Nobels fredspris', 'se': 'Nobels fredspris'}",1904-12-10,140859,7908819,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/pea/1904', 'action': 'GET', 'types': 'application/json'}]","[{'id': '467', 'orgName': {'en': 'Institute of International Law', 'no': 'Folkerettsinstituttet'}, 'nativeName': 'Institut de droit international', 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane', 'no': 'for arbeidet med å skape fredelige forbindelser mellom nasjoner og gjøre krigens lover mer humane gjennom folkeretten'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/467', 'action': 'GET', 'types': 'application/json'}]}]"
18,1904,"{'en': 'Physics', 'no': 'Fysikk', 'se': 'Fysik'}","{'en': 'The Nobel Prize in Physics', 'no': 'Nobelprisen i fysikk', 'se': 'Nobelpriset i fysik'}",1904-11-08,140859,7908819,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/phy/1904', 'action': 'GET', 'types': 'application/json'}]","[{'id': '8', 'knownName': {'en': 'Lord Rayleigh'}, 'fullName': {'en': 'Lord Rayleigh (John William Strutt)'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies', 'se': 'för hans undersökningar rörande de viktigaste gasernas täthet samt hans i sammanhang med dessa undersökningar gjorda upptäckt av argon'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/8', 'action': 'GET', 'types': 'application/json'}]}]"
19,1904,"{'en': 'Physiology or Medicine', 'no': 'Fysiologi eller medisin', 'se': 'Fysiologi eller medicin'}","{'en': 'The Nobel Prize in Physiology or Medicine', 'no': 'Nobelprisen i fysiologi eller medisin', 'se': 'Nobelpriset i fysiologi eller medicin'}",1904-10-20,140859,7908819,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/med/1904', 'action': 'GET', 'types': 'application/json'}]","[{'id': '296', 'knownName': {'en': 'Ivan Pavlov'}, 'fullName': {'en': 'Ivan Petrovich Pavlov'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged', 'se': 'såsom ett erkännande av hans arbete rörande digestionens fysiologi, varigenom han i väsentliga delar omdanat och vidgat kunskapen på detta område'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/296', 'action': 'GET', 'types': 'application/json'}]}]"
20,1905,"{'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}","{'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}",,138089,7753291,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/che/1905', 'action': 'GET', 'types': 'application/json'}]","[{'id': '164', 'knownName': {'en': 'Adolf von Baeyer'}, 'fullName': {'en': 'Johann Friedrich Wilhelm Adolf von Baeyer'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds', 'se': 'såsom ett erkännande av den förtjänst han inlagt om den organiska kemiens och den kemiska industriens utveckling genom sina arbeten rörande organiska färgämnen och hydroaromatiska föreningar'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/164', 'action': 'GET', 'types': 'application/json'}]}]"
21,1905,"{'en': 'Literature', 'no': 'Litteratur', 'se': 'Litteratur'}","{'en': 'The Nobel Prize in Literature', 'no': 'Nobelprisen i litteratur', 'se': 'Nobelpriset i litteratur'}",,138089,7753291,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/lit/1905', 'action': 'GET', 'types': 'application/json'}]","[{'id': '575', 'knownName': {'en': 'Henryk Sienkiewicz'}, 'fullName': {'en': 'Henryk Sienkiewicz'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'because of his outstanding merits as an epic writer', 'se': 'på grund av hans storartade förtjänster som episk författare'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/575', 'action': 'GET', 'types': 'application/json'}]}]"
22,1905,"{'en': 'Peace', 'no': 'Fred', 'se': 'Fred'}","{'en': 'The Nobel Peace Prize', 'no': 'Nobels fredspris', 'se': 'Nobels fredspris'}",1905-12-10,138089,7753291,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/pea/1905', 'action': 'GET', 'types': 'application/json'}]","[{'id': '468', 'knownName': {'en': 'Bertha von Suttner'}, 'fullName': {'en': 'Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'for her audacity to oppose the horrors of war', 'no': 'for sin modige kamp mot krigens grusomheter'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/468', 'action': 'GET', 'types': 'application/json'}]}]"
23,1905,"{'en': 'Physics', 'no': 'Fysikk', 'se': 'Fysik'}","{'en': 'The Nobel Prize in Physics', 'no': 'Nobelprisen i fysikk', 'se': 'Nobelpriset i fysik'}",,138089,7753291,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/phy/1905', 'action': 'GET', 'types': 'application/json'}]","[{'id': '9', 'knownName': {'en': 'Philipp Lenard'}, 'fullName': {'en': 'Philipp Eduard Anton von Lenard'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'for his work on cathode rays', 'se': 'för hans arbeten över katodstrålarna'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/9', 'action': 'GET', 'types': 'application/json'}]}]"
24,1905,"{'en': 'Physiology or Medicine', 'no': 'Fysiologi eller medisin', 'se': 'Fysiologi eller medicin'}","{'en': 'The Nobel Prize in Physiology or Medicine', 'no': 'Nobelprisen i fysiologi eller medisin', 'se': 'Nobelpriset i fysiologi eller medicin'}",,138089,7753291,"[{'rel': 'nobelPrize', 'href': 'https://api.nobelprize.org/2/nobelPrize/med/1905', 'action': 'GET', 'types': 'application/json'}]","[{'id': '297', 'knownName': {'en': 'Robert Koch'}, 'fullName': {'en': 'Robert Koch'}, 'portion': '1', 'sortOrder': '1', 'motivation': {'en': 'for his investigations and discoveries in relation to tuberculosis', 'se': 'för hans undersökningar och upptäckter rörande tuberkulos'}, 'links': [{'rel': 'laureate', 'href': 'https://api.nobelprize.org/2/laureate/297', 'action': 'GET', 'types': 'application/json'}]}]"
