mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.18,"6 km SW of Pearblossom, CA",1692140509720,1692141942287,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40537744,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40537744&format=geojson,,,,,reviewed,0,21,ci,40537744,",ci40537744,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.02285,0.09,73.0,ml,earthquake,"M 1.2 - 6 km SW of Pearblossom, CA"
1.36,"15 km WSW of Watonga, Oklahoma",1692140501570,1692201837277,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023pyrh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023pyrh&format=geojson,,,,,reviewed,0,28,ok,2023pyrh,",ok2023pyrh,",",ok,",",origin,phase-data,",43.0,0.1853636253,0.22,149.0,ml,earthquake,"M 1.4 - 15 km WSW of Watonga, Oklahoma"
2.8,"54 km S of Whites City, New Mexico",1692140259927,1692216474228,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023pyre,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023pyre&format=geojson,,,,,reviewed,0,121,tx,2023pyre,",us7000knk5,tx2023pyre,",",us,tx,",",origin,phase-data,",24.0,0.03463297507,0.2,56.0,ml,earthquake,"M 2.8 - 54 km S of Whites City, New Mexico"
0.9,"78 km WNW of Tyonek, Alaska",1692139492171,1692249031430,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afscu4y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afscu4y&format=geojson,,,,,reviewed,0,12,ak,023afscu4y,",av92003401,ak023afscu4y,",",av,ak,",",origin,phase-data,",,,0.31,,ml,ice quake,"M 0.9 Ice Quake - 78 km WNW of Tyonek, Alaska"
1.77,"6 km N of Calumet, Oklahoma",1692139452240,1692187363617,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023pyqs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023pyqs&format=geojson,,,,,reviewed,0,48,ok,2023pyqs,",ok2023pyqs,",",ok,",",origin,phase-data,",74.0,0.09448145951,0.16,50.0,ml,earthquake,"M 1.8 - 6 km N of Calumet, Oklahoma"
2.9,"8 km WSW of Thayne, Wyoming",1692139145784,1692224687782,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000knk2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000knk2&format=geojson,12.0,3.8,,,reviewed,0,134,us,7000knk2,",us7000knk2,",",us,",",dyfi,origin,phase-data,",27.0,0.125,0.67,69.0,ml,earthquake,"M 2.9 - 8 km WSW of Thayne, Wyoming"
2.24,"6 km SW of Volcano, Hawaii",1692138818710,1692139149040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528297,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528297&format=geojson,,,,,automatic,0,77,hv,73528297,",hv73528297,",",hv,",",origin,phase-data,",21.0,,0.200000003,53.0,ml,earthquake,"M 2.2 - 6 km SW of Volcano, Hawaii"
1.27,"19 km ESE of Little Lake, CA",1692138782180,1692140602605,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40537728,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40537728&format=geojson,,,,,reviewed,0,25,ci,40537728,",ci40537728,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.09624,0.12,126.0,ml,earthquake,"M 1.3 - 19 km ESE of Little Lake, CA"
1.6,"7 km NNW of Big Lake, Alaska",1692138638308,1692138719824,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afs9tue,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afs9tue&format=geojson,,,,,automatic,0,39,ak,023afs9tue,",ak023afs9tue,",",ak,",",origin,phase-data,",,,0.18,,ml,earthquake,"M 1.6 - 7 km NNW of Big Lake, Alaska"
1.4,"14 km ENE of Thomas, Oklahoma",1692138397560,1692194440007,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023pyqd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023pyqd&format=geojson,,,,,reviewed,0,30,ok,2023pyqd,",ok2023pyqd,",",ok,",",origin,phase-data,",37.0,0.2006606235,0.3,100.0,ml,earthquake,"M 1.4 - 14 km ENE of Thomas, Oklahoma"
-0.11,"17 km WSW of Dutch Harbor, Alaska",1692138148660,1692248443870,,https://earthquake.usgs.gov/earthquakes/eventpage/av91113473,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91113473&format=geojson,,,,,reviewed,0,0,av,91113473,",av91113473,",",av,",",origin,phase-data,",5.0,,0.07,125.0,ml,earthquake,"M -0.1 - 17 km WSW of Dutch Harbor, Alaska"
1.1,"Fox Islands, Aleutian Islands, Alaska",1692138012180,1692248289750,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003361,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003361&format=geojson,,,,,reviewed,0,19,av,92003361,",av92003361,",",av,",",origin,phase-data,",7.0,,0.11,87.0,ml,earthquake,"M 1.1 - Fox Islands, Aleutian Islands, Alaska"
0.88,"Fox Islands, Aleutian Islands, Alaska",1692137730490,1692248112660,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003346,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003346&format=geojson,,,,,reviewed,0,12,av,92003346,",av92003346,",",av,",",origin,phase-data,",7.0,,0.11,86.0,ml,earthquake,"M 0.9 - Fox Islands, Aleutian Islands, Alaska"
1.6,"18 km N of Hope, Alaska",1692137577995,1692137691501,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afs60h3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afs60h3&format=geojson,,,,,automatic,0,39,ak,023afs60h3,",ak023afs60h3,",",ak,",",origin,phase-data,",,,0.38,,ml,earthquake,"M 1.6 - 18 km N of Hope, Alaska"
1.08,"17 km WSW of Dutch Harbor, Alaska",1692137534860,1692247961630,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003331,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003331&format=geojson,,,,,reviewed,0,18,av,92003331,",av92003331,",",av,",",origin,phase-data,",7.0,,0.11,86.0,ml,earthquake,"M 1.1 - 17 km WSW of Dutch Harbor, Alaska"
2.48,"7 km SW of Volcano, Hawaii",1692137024310,1692138180320,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528247,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528247&format=geojson,,,,,reviewed,0,95,hv,73528247,",hv73528247,",",hv,",",origin,phase-data,",42.0,,0.11,50.0,ml,earthquake,"M 2.5 - 7 km SW of Volcano, Hawaii"
1.6,"53 km W of Happy Valley, Alaska",1692136134337,1692136250650,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afrsad5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afrsad5&format=geojson,,,,,automatic,0,39,ak,023afrsad5,",ak023afrsad5,",",ak,",",origin,phase-data,",,,0.54,,ml,earthquake,"M 1.6 - 53 km W of Happy Valley, Alaska"
2.00999999,"Island of Hawaii, Hawaii",1692136083400,1692136413460,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528217,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528217&format=geojson,,,,,automatic,0,62,hv,73528217,",hv73528217,",",hv,",",origin,phase-data,",9.0,,0.100000001,109.0,md,earthquake,"M 2.0 - Island of Hawaii, Hawaii"
0.64,"Fox Islands, Aleutian Islands, Alaska",1692136079020,1692246852100,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003291,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003291&format=geojson,,,,,reviewed,0,6,av,92003291,",av92003291,",",av,",",origin,phase-data,",7.0,,0.1,87.0,ml,earthquake,"M 0.6 - Fox Islands, Aleutian Islands, Alaska"
1.82,"5 km WSW of Volcano, Hawaii",1692135952640,1692136283000,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528207,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528207&format=geojson,,,,,automatic,0,51,hv,73528207,",hv73528207,",",hv,",",origin,phase-data,",12.0,,0.230000004,70.0,ml,earthquake,"M 1.8 - 5 km WSW of Volcano, Hawaii"
0.18,"85 km NNW of Karluk, Alaska",1692135830830,1692247438850,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003281,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003281&format=geojson,,,,,reviewed,0,0,av,92003281,",av92003281,",",av,",",origin,phase-data,",12.0,,0.18,83.0,ml,earthquake,"M 0.2 - 85 km NNW of Karluk, Alaska"
-0.01,"85 km NW of Karluk, Alaska",1692135726150,1692247211560,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003276,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003276&format=geojson,,,,,reviewed,0,0,av,92003276,",av92003276,",",av,",",origin,phase-data,",9.0,,0.1,105.0,ml,earthquake,"M 0.0 - 85 km NW of Karluk, Alaska"
2.4,"5 km S of Pearsall, Texas",1692135714252,1692289302771,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023pyoq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023pyoq&format=geojson,,,,,reviewed,0,89,tx,2023pyoq,",tx2023pyoq,",",tx,",",origin,phase-data,",13.0,0.3263026818,0.3,83.0,ml,earthquake,"M 2.4 - 5 km S of Pearsall, Texas"
-0.1,"17 km WSW of Dutch Harbor, Alaska",1692135627120,1692246619540,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003271,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003271&format=geojson,,,,,reviewed,0,0,av,92003271,",av92003271,",",av,",",origin,phase-data,",7.0,,0.13,88.0,ml,earthquake,"M -0.1 - 17 km WSW of Dutch Harbor, Alaska"
-0.15,"85 km NW of Karluk, Alaska",1692135569200,1692247015070,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003266,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003266&format=geojson,,,,,reviewed,0,0,av,92003266,",av92003266,",",av,",",origin,phase-data,",6.0,,0.1,107.0,ml,earthquake,"M -0.2 - 85 km NW of Karluk, Alaska"
1.1,"7 km NNW of Ester, Alaska",1692135475446,1692135596758,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afrpxko,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afrpxko&format=geojson,,,,,automatic,0,19,ak,023afrpxko,",ak023afrpxko,",",ak,",",origin,phase-data,",,,1.12,,ml,earthquake,"M 1.1 - 7 km NNW of Ester, Alaska"
3.04,"7 km SW of Volcano, Hawaii",1692135459610,1692138016449,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528192,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528192&format=geojson,4.0,2.7,,,reviewed,0,143,hv,73528192,",hv73528192,us7000knjp,",",hv,us,",",dyfi,origin,phase-data,",44.0,,0.11,51.0,ml,earthquake,"M 3.0 - 7 km SW of Volcano, Hawaii"
3.0,"Andreanof Islands, Aleutian Islands, Alaska",1692135411711,1692141526040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000knk4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000knk4&format=geojson,,,,,reviewed,0,138,us,7000knk4,",ak023afrppml,us7000knk4,",",ak,us,",",origin,phase-data,",15.0,0.72,0.53,246.0,ml,earthquake,"M 3.0 - Andreanof Islands, Aleutian Islands, Alaska"
0.74,"Island of Hawaii, Hawaii",1692135372940,1692138991140,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528187,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528187&format=geojson,,,,,reviewed,0,8,hv,73528187,",hv73528187,",",hv,",",origin,phase-data,",16.0,,0.06,123.0,md,earthquake,"M 0.7 - Island of Hawaii, Hawaii"
0.66,"16 km N of Borrego Springs, CA",1692135215270,1692141673143,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40537712,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40537712&format=geojson,,,,,reviewed,0,7,ci,40537712,",ci40537712,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.07653,0.11,136.0,ml,earthquake,"M 0.7 - 16 km N of Borrego Springs, CA"
0.43,"23 km ENE of Ashford, Washington",1692134836650,1692154146110,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61941512,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61941512&format=geojson,,,,,reviewed,0,3,uw,61941512,",uw61941512,",",uw,",",origin,phase-data,",13.0,0.02211,0.08,83.0,ml,earthquake,"M 0.4 - 23 km ENE of Ashford, Washington"
1.54,"73 km SSW of Ugashik, Alaska",1692134491280,1692246322320,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003231,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003231&format=geojson,,,,,reviewed,0,36,av,92003231,",av92003231,",",av,",",origin,phase-data,",4.0,,0.21,295.0,ml,earthquake,"M 1.5 - 73 km SSW of Ugashik, Alaska"
1.22,"10 km NNE of Santa Paula, CA",1692134182230,1692140373731,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40537688,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40537688&format=geojson,,,,,reviewed,0,23,ci,40537688,",ci40537688,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.09059,0.23,148.0,ml,quarry blast,"M 1.2 Quarry Blast - 10 km NNE of Santa Paula, CA"
-0.02,"85 km NW of Karluk, Alaska",1692134113180,1692245531850,,https://earthquake.usgs.gov/earthquakes/eventpage/av91113463,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91113463&format=geojson,,,,,reviewed,0,0,av,91113463,",av91113463,",",av,",",origin,phase-data,",9.0,,0.11,105.0,ml,earthquake,"M 0.0 - 85 km NW of Karluk, Alaska"
1.11,"7 km N of Yucaipa, CA",1692134099510,1692141507132,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40537680,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40537680&format=geojson,,,,,reviewed,0,19,ci,40537680,",ci40537680,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.0508,0.1,59.0,ml,earthquake,"M 1.1 - 7 km N of Yucaipa, CA"
-0.05,"85 km NW of Karluk, Alaska",1692134076470,1692245071930,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003206,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003206&format=geojson,,,,,reviewed,0,0,av,92003206,",av92003206,",",av,",",origin,phase-data,",8.0,,0.06,104.0,ml,earthquake,"M -0.1 - 85 km NW of Karluk, Alaska"
-0.54,"83 km NW of Karluk, Alaska",1692134057280,1692249932620,,https://earthquake.usgs.gov/earthquakes/eventpage/av91113458,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91113458&format=geojson,,,,,reviewed,0,0,av,91113458,",av91113458,",",av,",",origin,phase-data,",5.0,,0.05,163.0,ml,earthquake,"M -0.5 - 83 km NW of Karluk, Alaska"
1.05,"7 km SSW of Napa, CA",1692133974140,1692289890230,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73924516,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73924516&format=geojson,,,,,reviewed,0,17,nc,73924516,",nc73924516,",",nc,",",nearby-cities,origin,phase-data,",13.0,0.03701,0.06,131.0,md,earthquake,"M 1.1 - 7 km SSW of Napa, CA"
-0.09,"Andreanof Islands, Aleutian Islands, Alaska",1692133717200,1692244850650,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003196,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003196&format=geojson,,,,,reviewed,0,0,av,92003196,",av92003196,",",av,",",origin,phase-data,",4.0,,0.27,303.0,ml,earthquake,"M -0.1 - Andreanof Islands, Aleutian Islands, Alaska"
1.1,"64 km SE of Denali National Park, Alaska",1692133636079,1692133765638,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afrjf1z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afrjf1z&format=geojson,,,,,automatic,0,19,ak,023afrjf1z,",ak023afrjf1z,",",ak,",",origin,phase-data,",,,0.3,,ml,earthquake,"M 1.1 - 64 km SE of Denali National Park, Alaska"
0.49,"7 km SW of Volcano, Hawaii",1692133306290,1692134650220,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73528112,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73528112&format=geojson,,,,,reviewed,0,4,hv,73528112,",hv73528112,",",hv,",",origin,phase-data,",11.0,,0.09,146.0,md,earthquake,"M 0.5 - 7 km SW of Volcano, Hawaii"
0.96,"7 km NW of The Geysers, CA",1692133271420,1692134535287,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73924511,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73924511&format=geojson,,,,,automatic,0,14,nc,73924511,",nc73924511,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.008181,0.01,55.0,md,earthquake,"M 1.0 - 7 km NW of The Geysers, CA"
1.54,"6 km ESE of Bostonia, CA",1692133249920,1692140932065,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40537664,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40537664&format=geojson,,,,,reviewed,0,36,ci,40537664,",ci40537664,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.06651,0.27,70.0,ml,quarry blast,"M 1.5 Quarry Blast - 6 km ESE of Bostonia, CA"
1.8,"Rat Islands, Aleutian Islands, Alaska",1692133184907,1692134797570,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afr97m6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afr97m6&format=geojson,,,,,reviewed,0,50,ak,023afr97m6,",ak023afr97m6,",",ak,",",origin,phase-data,",,,0.59,,ml,earthquake,"M 1.8 - Rat Islands, Aleutian Islands, Alaska"
1.45,"3 km N of Calumet, Oklahoma",1692133106030,1692193503914,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023pynf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023pynf&format=geojson,,,,,reviewed,0,32,ok,2023pynf,",ok2023pynf,",",ok,",",origin,phase-data,",27.0,0.09628110636,0.45,64.0,ml,earthquake,"M 1.5 - 3 km N of Calumet, Oklahoma"
0.9,"34 km NNE of Nixon, Nevada",1692132898229,1692151435949,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00864508,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00864508&format=geojson,,,,,reviewed,0,12,nn,00864508,",nn00864508,",",nn,",",origin,phase-data,",3.0,0.42,0.0248,192.85,ml,earthquake,"M 0.9 - 34 km NNE of Nixon, Nevada"
-0.03,,1692132296840,1692244628560,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003181,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003181&format=geojson,,,,,reviewed,0,0,av,92003181,",av92003181,",",av,",",origin,phase-data,",8.0,,0.15,118.0,ml,earthquake,M 0.0 - 
0.5,"83 km NNW of Karluk, Alaska",1692131830176,1692244466720,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afr4eh5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afr4eh5&format=geojson,,,,,automatic,0,4,ak,023afr4eh5,",av92003171,ak023afr4eh5,",",av,ak,",",origin,phase-data,",,,0.41,,ml,earthquake,"M 0.5 - 83 km NNW of Karluk, Alaska"
1.7,"42 km ESE of Pope-Vannoy Landing, Alaska",1692131190062,1692131282099,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023afr234u,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023afr234u&format=geojson,,,,,automatic,0,44,ak,023afr234u,",ak023afr234u,",",ak,",",origin,phase-data,",,,0.15,,ml,earthquake,"M 1.7 - 42 km ESE of Pope-Vannoy Landing, Alaska"
2.32,"32 km W of Rancho Palos Verdes, CA",1692131018820,1692139551892,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40537624,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40537624&format=geojson,,,,,reviewed,0,83,ci,40537624,",ci40537624,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",34.0,0.2709,0.16,104.0,ml,earthquake,"M 2.3 - 32 km W of Rancho Palos Verdes, CA"
0.2,,1692130826870,1692244168800,,https://earthquake.usgs.gov/earthquakes/eventpage/av92003141,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92003141&format=geojson,,,,,reviewed,0,1,av,92003141,",av92003141,",",av,",",origin,phase-data,",7.0,,0.11,86.0,ml,earthquake,M 0.2 - 
0.9,"3 km ENE of Home Gardens, CA",1692129276560,1692130994614,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40537576,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40537576&format=geojson,,,,,reviewed,0,12,ci,40537576,",ci40537576,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.06547,0.31,52.0,ml,quarry blast,"M 0.9 Quarry Blast - 3 km ENE of Home Gardens, CA"
1.6500000000000001,"2 km N of Oakville, Washington",1692129081030,1692153864870,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61941472,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61941472&format=geojson,,,,,reviewed,0,42,uw,61941472,",uw61941472,",",uw,",",origin,phase-data,",14.0,0.0267,0.49,115.0,ml,explosion,"M 1.7 Explosion - 2 km N of Oakville, Washington"
